congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
116,Senate,41705,41,0,AL,100,,,"JONES, Gordon Douglas (Doug)",J000300,1954,,-0.088,0.187,-80.32594,0.88065,632,33,,-0.081,0.234
116,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.446,0.57,-45.74049,0.93334,663,27,,0.437,0.219
116,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-49.06013,0.92427,623,12,,0.283,-0.424
116,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.476,0.156,-54.77462,0.91906,649,23,,0.51,-0.04
116,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-86.25793,0.86773,608,27,,-0.065,0.217
116,Senate,21501,61,0,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.027,-35.62669,0.94281,605,13,,0.338,0.209
116,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964,,-0.264,0.29,-21.0339,0.62,44,13,,-0.064,0.499
116,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.426,0.34,-31.31286,0.95421,668,16,,0.354,0.245
116,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.578,0.199,-77.21604,0.88991,662,30,,0.471,-0.083
116,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.709,-0.105,-29.10452,0.90983,308,12,,-0.729,-0.137
116,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,2023,-0.268,-0.184,-78.11306,0.88838,660,24,,-0.263,-0.057
116,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.444,-0.029,-48.59692,0.92807,651,21,,0.355,-0.009
116,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.242,-0.191,-102.73736,0.83045,553,43,,-0.3,-0.144
116,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.287,-0.258,-178.85417,0.76387,664,75,,-0.165,-0.323
116,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.434,-0.152,-110.30118,0.84652,662,47,,-0.456,-0.173
116,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.225,-105.49719,0.8531,664,29,,-0.19,-0.211
116,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.238,-0.215,-77.54356,0.88672,645,35,,-0.21,-0.237
116,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.616,-0.184,-52.05559,0.92141,636,26,,0.517,-0.102
116,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.722,-0.037,-77.11056,0.88682,642,30,,0.547,0.065
116,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,2021,0.402,-0.011,-10.54373,0.96184,271,2,,0.336,0.153
116,Senate,41501,44,0,GA,200,,,"PERDUE, David Alfred, Jr.",P000612,1949,,0.562,-0.075,-38.26812,0.93689,587,19,,0.474,0.156
116,Senate,41904,44,0,GA,200,,,"LOEFFLER, Kelly",L000594,1970,,0.555,-0.203,-18.40266,0.9218,226,7,,0.556,-0.201
116,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.512,-0.089,-88.53701,0.87266,650,44,,-0.575,-0.002
116,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972,,-0.448,-0.119,-97.36205,0.85764,634,42,,-0.466,-0.111
116,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.505,0.291,-33.21237,0.95121,664,16,,0.492,0.65
116,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943,,0.552,0.384,-28.05696,0.95775,650,11,,0.573,0.636
116,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.34,-0.311,-130.52358,0.81982,657,67,,-0.287,-0.12
116,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.345,0.056,-95.7722,0.86221,646,36,,-0.376,0.208
116,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.439,-0.024,-68.25861,0.90103,655,31,,0.46,-0.329
116,Senate,41900,22,0,IN,200,,,"BRAUN, Michael",B001310,1954,,0.8,0.6,-61.55663,0.91133,663,29,,0.837,0.335
116,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.362,-0.035,-57.31887,0.91658,658,21,,0.491,0.026
116,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.537,-0.032,-57.70392,0.91579,656,24,,0.544,-0.139
116,Senate,14852,32,0,KS,200,,,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.413,-0.09,-23.41567,0.96396,638,2,,0.339,0.203
116,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.413,0.221,-86.02841,0.86704,603,35,,0.452,-0.276
116,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.402,0.018,-63.46911,0.90936,668,16,,0.297,0.201
116,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.891,-0.454,-175.88871,0.74844,607,91,,0.879,-0.477
116,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.464,-0.048,-48.40552,0.92593,629,23,,0.504,-0.06
116,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.56,-0.149,-81.3781,0.88317,655,44,,0.681,-0.043
